sample_id,split,label,category,type,change_type,description,longitude,latitude,zoom,t0_start,t0_end,t1_start,t1_end,t0_path,t1_path,t0_shape,t1_shape
mining_2358,train,1,mining_emergence,positive,mining,Mining site emerged,-45.94323992975389,-1.387533435860369,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_2358_t0.npy,train/images/mining_2358_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1096,train,1,mining_emergence,positive,mining,Mining site emerged,-56.6485905,-7.8422985,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_1096_t0.npy,train/images/mining_1096_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1207,train,1,mining_emergence,positive,mining,Mining site emerged,-62.0627105,4.2261145,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1207_t0.npy,train/images/mining_1207_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_58,train,1,mining_emergence,positive,mining,Mining site emerged,-62.457666349424926,5.193836628641975,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_58_t0.npy,train/images/mining_58_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_30,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-44.32319532162913,-3.448694910427088,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_30_t0.npy,train/images/human_30_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_190,train,0,natural_change,negative,natural,Natural change,-62.9541158992811,6.401978287609296,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_190_t0.npy,train/images/natural_190_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_892,train,1,mining_emergence,positive,mining,Mining site emerged,-57.3904147498848,-6.091908416586945,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_892_t0.npy,train/images/mining_892_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_898,train,1,mining_emergence,positive,mining,Mining site emerged,-56.69628958351929,-7.608056250115044,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_898_t0.npy,train/images/mining_898_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_58,train,0,natural_change,negative,natural,Natural change,-63.00499343028338,6.921795252761575,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_58_t0.npy,train/images/natural_58_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_2339,train,1,mining_emergence,positive,mining,Mining site emerged,-45.94280574692173,-1.384201660946202,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_2339_t0.npy,train/images/mining_2339_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_252,train,0,natural_change,negative,natural,Natural change,-47.565110608001625,-13.168017271157831,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_252_t0.npy,train/images/natural_252_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_154,train,1,mining_emergence,positive,mining,Mining site emerged,-56.1663135,-6.7119095,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_154_t0.npy,train/images/mining_154_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_34,train,0,natural_change,negative,natural,Natural change,-62.142945664284085,4.713620077467135,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_34_t0.npy,train/images/natural_34_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_232,train,1,mining_emergence,positive,mining,Mining site emerged,-54.9282015,-8.1047475,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_232_t0.npy,train/images/mining_232_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_240,train,1,mining_emergence,positive,mining,Mining site emerged,-69.984551,-12.88443,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_240_t0.npy,train/images/mining_240_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_963,train,1,mining_emergence,positive,mining,Mining site emerged,-57.457954,-4.8248445,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_963_t0.npy,train/images/mining_963_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_2248,train,1,mining_emergence,positive,mining,Mining site emerged,-69.91023511401868,-12.724818157268965,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_2248_t0.npy,train/images/mining_2248_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_535,train,1,mining_emergence,positive,mining,Mining site emerged,-57.364241749884805,-6.144032416586944,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_535_t0.npy,train/images/mining_535_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_86,train,1,mining_emergence,positive,mining,Mining site emerged,-61.52413784623198,6.218636160677972,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_86_t0.npy,train/images/mining_86_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1178,train,1,mining_emergence,positive,mining,Mining site emerged,-61.4348255,6.202771,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1178_t0.npy,train/images/mining_1178_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_85,train,1,mining_emergence,positive,mining,Mining site emerged,-61.511797184306104,6.186907352592737,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_85_t0.npy,train/images/mining_85_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_994,train,1,mining_emergence,positive,mining,Mining site emerged,-56.4834015,-6.9967415,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_994_t0.npy,train/images/mining_994_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_84,train,0,natural_change,negative,natural,Natural change,-54.93663666895656,4.633336484367627,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_84_t0.npy,train/images/natural_84_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_525,train,1,mining_emergence,positive,mining,Mining site emerged,-56.753419,-7.2574805,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_525_t0.npy,train/images/mining_525_t1.npy,"(48, 48, 6)","(48, 48, 6)"
